Albanien;;
Nr.;Frage;Antwort
1;Wie anspruchsvoll sind die Wanderungen ?;Auf dieser Reise gibt es nur eine größere Wanderung, welche circa 2,5 Stunden lang ist.  Diese findet im Llogara-Nationalpark statt. Die Pfade bestehen größtenteils aus ebenen Wegen, teils mit steinigen und steileren Abschnitten.
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen;Reisenspezifische Antworten
1;;
2;;
3;;
Azoren;;
Nr.;Frage;Antwort
1;Wie anstrengend ist die Reise?;Für die Reise ist kein spezielles Fitnesslevel vorgeschrieben. Es empfiehlt sich jedoch gut zu Fuß zu sein, da es öfter mal längere Spaziergänge in der Natur gibt.
2
3;Wie lange ist der Flug auf die Azoren?;Ab/bis Frankfurt dauert der Flug auf die Azoren je ca. 5 Stunden.
4;Wann ist die beste Zeit um Wale zu beobachten auf den Azoren?;Die Azoren sind ein ganzjährig hervorragendes Reiseziel für Walbeobachtungen, da einige Wal- und Delfinarten dort dauerhaft heimisch sind. Die Hauptsaison für die größte Artenvielfalt erstreckt sich jedoch von April bis Oktober. Im Frühling, besonders zwischen April und Juni, hat man die besten Chancen, wandernde Bartenwale wie Blau- oder Finnwale zu sichten. Auch im Sommer und Herbst sind viele verschiedene Wal- und Delfinarten zu beobachten. Selbst im Winter sind Walbeobachtungen von standorttreuen Arten wie Pottwalen möglich, obwohl das Wetter dann unbeständiger sein kann.
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Estland;;
Nr.;Frage;Antwort
1;Alle Einzelzimmer sind ausgebucht, aber ich würde gerne ein Einzelzimmer buchen, was nun? ;Schreib uns gerne direkt über das Kontaktformular, vielleicht können wir ein weiteres Einzelzimmer für dich anfragen 
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Baltikum: Wie viel läuft man auf der Reise? ;Inklusive Stadtführungen etc. kommt man auf 10-12 gelaufene km am Tag
2;Baltikum: Wie anstrengend sind die Wanderungen?;Die Wanderungen sind mit ca. 2-3 km moderat, jedoch geht es teilweise durch Moorlandschaften, hier ist eine gewisse Triffsicherheit gefragt 
3;Soomaa: Werden meine Schuhe bei der Moorwanderung dreckig? ;Für die Wanderung werden Schneeschuhe zur Verfügung gestellt, die sich auch klasse als Moorschuhe eignen, so sinken die Schuhe nicht ein, und werden nur bedingt schmutzig 
Finnland;;
Nr.;Frage;Antwort
1;Verlänegungen möglich ?;nein da nur einmal die woche geflogen wird
2;wechseln wir das hotel;nein da standortreise
3;benötigen wir besondere Wärmebekleidung;bekommen am 1. Tag vor Ort Wärmebekleidung (Anzug, Schuhe, Handschuhe usw.) zur Verfügung gestellt
4;was gibt es zu essen;finnische Verpflegung ist eher deftig und herzhaft, viel Fleisch und Fisch
5;Nebenkosten vor Ort ;ca. 200-300 Euro pro person
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Frankreich;;
Nr.;Frage;Antwort
1;Wie groß sind die Zimmer?;I.d.R. sind die Standard- Zimmer in franz. Hotels relativ klein und nicht mit US-amerikanischen oder deutschen zu vergleichen
2;Wie groß sind die Betten?;Franz. Standard-Doppelbetten sind 1,40 m breit und 1.90m  lang und haben i.d.R. Laken und eine Überdecke.
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;FRBRE: bisher keine spezifischen Fragen aufgetaucht;
2;FRPRO: Wann ist die Lavendelblüte?;von Mitte Juni bis Anfang/Mitte August (je nach Region, Höhenlage, Wetter und Ernte (je trockener, desto früher wird geerntet)
3;FRPRO: muss man an der E-Bike Tour durch die Camargue teilnehmen?;Wenn du nicht an der Fahrradtour teilnehmen möchtest, findet die Reiseletiung eine Alternative für dich. Du kannst z.B. das Städtchen Aigues-Mortes erkunden
Griechenland;;
Nr.;Frage;Antwort
1;Gibt es Wanderungen auf dieser Reise?;Optional kann man zur Palamidi-Festung zu Fuß hochlaufen. Der Reisebus fährt aber alle Strecken mit, sodass dieser auch genutzt werden kann. Außer den Stadtbesichtigungen gibt es keine längeren Fußmärsche auf dieser Reise.
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Großbritannien;;
Nr.;Frage;Antwort
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Irland;;
Nr.;Frage;Antwort
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Island;;
Nr.;Frage;Antwort
1;Wann kann man am bsten Nordlichter beobachten?;Die beste Zeit um Nordlichter zu beobachten liegt zwischen Oktober und März.
2;Was passiert, wenn ein Vulkan ausbricht?;Grundsätzlich ist es auf Island schon fast normal, dass ein Vulkan ausbricht und absolut sehenswert. Die Isländer sind da sehr entspannt, da es fast zum täglichen Leben gehört. Sollte es ein gravierender Ausbruch sein, sind wir immer im ständigen Kontakt mit unseren Partnern vor Ort und pürfen die Lage. 
3;Welche Zielgruppe bereist Island?;Nach Island kommen hauptsächlich Naturinteressierte.
4;Wann ist die beste Reisezeit für Island?;Das kommt darauf an, was man sehen bzw machen möchte. Zum Wandern und Wale beobachten eignen sich die Monate Juni-August. Nordlichter kann man von Oktober bis März bestaunen. Grundsätzlich wechselt das Klima oft mehrmals am Tag.
5;Wird es in Island richtig kalt?;In Island wird es weder richtig kalt, noch richtig warm. Aber das Wetter ist sehr wechselhaft und kann sich jeden Moment und mehrmals am Tag ändern.
6;Wie funktioniert die Fahrt mit dem Flybus?;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Ist diese Reise eine aktive Wanderreise?;Nein, wir sind zwar viel unterwegs, aber ausgedehnte Wanderungen sind es nicht.
2;Wieviele Reiseleiter gibt es auf dieser Reise?;Auf unseren Island Reisen haben wir 1 Reiseleiter, der auch gleichzeitig Fahrer ist.
3;Warum kommen wir am 1.Tag erst so spät in Reykjavik an?;Wir haben Flugkontingente mit der Lufthansa und kalkulieren die reise mit diesem Flug. Sollte eine frühere Verbindung gewünscht sein, prüfen wir dies gern. 
Italien;;
Nr.;Frage;Antwort
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Kroatien;;
Nr.;Frage;Antwort
1;Mit welcher Fluggesellschaft wird geflogen?;Es wird mit der Lufthansa geflogen.
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Lettland;;
Nr.;Frage;Antwort
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Kombireise mit Estland und Litauen, siehe Estland;
2;;
3;;
Litauen;;
Nr.;Frage;Antwort
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Kombireise mit Estland und Lettland, siehe Estland;
2;;
3;;
Nordmazedonien/Albanien/Montenegro;;
Nr.;Frage;Antwort
1;Muss ich vorher Euro in Landeswährung tauschen?;Ein Tausch vorab ist nicht notwendig und im Falle von Nordmazedonien auch gar nicht möglich, da deutsche Banken i. d. R. keinen Mazedonischen Denar (MKD) vorbestellen können. Du kannst am besten in Skopje Euro in Denar tauschen oder mit einer Kreditkarte Bargeld abheben. Für Albanien gilt das gleiche, dort tauschst du Euro in Albanische Lek (ALL). In Montenegro wird mit Euro bezahlt. Generell empfehlen wir, in eine kleine Stückelung (Noten von max. 1000 MKD oder 2000 ALL) zu tauschen, da du Bargeld vorwiegend in Restaurants/Cafés, Supermärkten oder für Souvenirs - also kleinere Beträge - brauchen wirst. An den meisten Orten kannst du zudem mit Kreditkarte zahlen.
2;Welche Reisezeit ist am besten?;Die angenehmsten Badetemperaturen hast du zwischen Juni und September. Von Mitte Juli bis Mitte August führen wir die Reise nicht durch, da die Temperaturen dann für Stadterkundungen zu warm sind. Besonders angenehm sind auch die Temperaturen im April und Oktober, wenn du der Sommerhitze entgehen möchtest.
3;Für wen ist die Reise geeignet?;Unsere Länderkombi »Balkan« liefert ein buntes Potpourri, bei dem sowohl Natur- als auch Kulturinteressierte gleichermaßen auf Ihre Kosten kommen. Kulturhighlights sind vor allem im Süden Albaniens zu finden, die Naturhighlights sind u. a. der Ohridsee und die Albanischen Alpen.
4;Welche Reisedokumente brauche ich?;Du kannst mit deinem Personalausweis oder Reisepass reisen. Bitte beachte, dass das Reisedokument mindestens 6 Monate über das Reiseende hinaus gültig sein muss.
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Kann die Reise auch ohne Flug gebucht werden?;Eine Buchung mit Eigenanreise ist nur auf den Terminen möglich, bei denen die Gruppenflüge hin und rück mit Lufthansa nonstop durchgeführt werden. Kontaktiere hierzu gern unsere Erlebnisberatung.
2;Werden viele Serpentinen gefahren?;Auf einzelnen Streckenabschnitten sind Serpentinen vorhanden. Wenn du zu Reiseübelkeit neigst, empfehlen wir dir, Reisetabletten/-kaugummis einzupacken.
3;Ist die Reise anstrengend?;Es sind keine Wanderungen vorgesehen, eher Spaziergänge. Bitte beachte beim Kofferpacken, dass es in einigen Orten auf der Reise vorwiegend Kopfsteinpflaster und viele Treppen gibt, sodass du auch für einen Stadtspaziergang geeignetes Schuhwerk benötigst.
Norwegen;;
Nr.;Frage;Antwort
1;wo sind die Voucher?;bei Gruppentransfer nicht notwendig hat die Reiseleitung, bei unterschiedlichen Anreisen mit den Ulas
2;Sitzplatzreservierung vorab möglich ;Standard Sitzplatz 25 € pro Person und Strecke / XL-Sitzplatz 45 € pro Person und Strecke
3;Aktivitätslevel;einfach
4;Tipps zur Kleidung;Zwiebellook & im Sommer Schlafmaske & Sonnenbrille, da lange Tage & kurze Nächte, (wärmender Pullover, Windjacke/Regenjacke stabile Turnschuhe oder leichte Wanderschuhe)
5;Nebenkosten vor Ort ;Für Ihre Reise sollten Sie pro Woche etwa 300 bis 400 € pro Person
6;Aufgabegepäck bei LH ?;in der ECO 23KG pro Person / bei Business 32KG
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Im Hotel Senja teilen sich die Gäste ein Apartment (NUR BEI NOLOF);edoch ist nur der Wohnbereich zur gemeinsamen Nutzung. Jedes EZ/DZ hat ein eigenes Schlafzimmer und ein eigenes Bad. Auch mit Schlüssel um Ihren bereich zu verschließen.
2;;
3;;
Portugal;;
Nr.;Frage;Antwort
1;;
2;
3;Haben die Unterkünfte Duschmittel?;In der Regel bieten die Unterkünfte kleine Dusch- und Shampooproben an. Wir empfehlen dennoch zusätzlich in kleinerer Menge Duschgel/Shampoo mitzunehmen. 
4;Muss ich gut zu Fuß sein? ;Eine gewisse Grundfitness sollte vorhanden sein. Stadtbesichtigungen zum Beispiel erfolgen hauptsächlich zu Fuß und viele Sehenswürdigkeiten, wie zum Beispiel die Christusritterburg in Tomar, hat sehr viele Treppen. 
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Rumänien;;
Nr.;Frage;Antwort
1;gibt es im Kloster Strom;ja in den Gästeräumen gibt es Strom
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Schottland;;
Nr.;Frage;Antwort
1;Ist die Tour anstrengend, muss man gut zu Fuß sein?;Tour ist nicht anstrengend, man muss nicht gut zu Fuß sein. Man fährt die meiste Zeit, hat ab-, und an Stopps. Die meiste Zeit zu Fuß dann tatsächlich in den Städten.
2;Wie lange fährt man so circa täglich?;Ganz unterschiedlich, so circa 4-5 Stunden.
3;Fährt man mit dem Harry Potter Zug oder sieht man ihn zumindest?;Nein, man fährt nicht mit dem Zug. Man hält dort an und kann Fotos machen, keine Garantie, dass der Zug vorbei fährt.
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Schweden;;
Nr.;Frage;Antwort
1;benötigen wir Winterkleidung für die Huskyfahrt?;nein,die Agt stellt Winterbekleidung zur Verfügung, bitte lasse uns dafür deine Kleider- und Schuhgröße zukommen
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Spanien;;
Nr.;Frage;Antwort
1;Beste Reisezeit;"Frühjahr bis Herbst; ESALH: nicht über den heißen Sommer (keine Abreisen im Juli/ August); ESVER: Nordspanien kühler, daher auch im Sommer möglich"
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Wird die Alhambra von innen und außen besucht? Genügend Zeit?;"Beides ""ja"" - umfangreicher Besuch, sowohl der Paläste, als auch der Gärten"
2;Kann man die Wanderungen auslassen?;Ja, hier finden sich vor Ort Möglichkeiten, was man anstelle der Wanedrung machen kann bzw. es wird ein Treffpunkt ausgemacht, wo man sich anschließend wieder zusammen findet
3;;
